round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,4.440892098500626e-16,,1.085224081,3.5047336e7,-6.661338147750939e-16
2,4,0,0.0,,0.173726519,4.355056e6,3.3306690738754696e-16
3,8,0,0.0,,0.009001659,258448.0,4.440892098500626e-16
4,16,4,1.5543122344752192e-15,,0.019176918,512144.0,0.0
5,32,12,1.5543122344752192e-15,,0.04705803,875232.0,-4.440892098500626e-16
6,64,8,1.7230685060612965,,1.467142791,5.6766024e7,0.7486646985740621
7,128,20,1.3613100879288171,,0.291118307,5.8936304e7,-0.17150344111944782
8,256,51,1.2500395559914317,,0.629472204,1.21517712e8,-0.15746275429314593
9,512,101,1.1561587959249948,,1.215991572,2.32089952e8,-0.03904104840079414
10,1024,167,1.48023218918939,,2.492809529,4.9683168e8,0.022091653206380624
