parameters,naive_left,naive_right,mcci_radius_left,mcci_radius_right,fused_left,fused_right
x,-2.5892542636835723,2.2658493991963295,0.04756162825789881,0.11290715526288815,-2.6368158919414713,2.3787565544592177
y.1,-0.3022111526522501,6.9197412847202155,0.03275706605259018,0.3040647553606599,-0.3349682187048403,7.223806040080875
y.2,-0.33546202192318264,6.632954011739183,0.07235578048635001,0.2643754160151276,-0.40781780240953264,6.89732942775431
log_density,-5.303572347215129,-1.6804883677960492,0.40851797322072486,0.014163685443098888,-5.712090320435854,-1.6663246823529503
