time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,44,14,0,0
2026-06-21 00:00:00+00:00,55,13,0,0
2026-06-22 00:00:00+00:00,28,10,0,0
2026-06-23 00:00:00+00:00,45,12,0,0
2026-06-24 00:00:00+00:00,29,8,0,0
2026-06-25 00:00:00+00:00,39,10,0,0
2026-06-26 00:00:00+00:00,21,10,0,0
2026-06-27 00:00:00+00:00,14,5,0,0
2026-06-28 00:00:00+00:00,14,5,0,0
2026-06-29 00:00:00+00:00,18,9,0,0
2026-06-30 00:00:00+00:00,20,7,1,1
2026-07-01 00:00:00+00:00,7,3,0,0
2026-07-02 00:00:00+00:00,10,5,5,1
2026-07-03 00:00:00+00:00,21,7,1,1
