time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,12,7,1,1
2026-05-24 00:00:00+00:00,4,4,0,0
2026-05-25 00:00:00+00:00,26,7,0,0
2026-05-26 00:00:00+00:00,22,9,0,0
2026-05-27 00:00:00+00:00,22,9,0,0
2026-05-28 00:00:00+00:00,17,8,0,0
2026-05-29 00:00:00+00:00,15,6,0,0
2026-05-30 00:00:00+00:00,22,9,0,0
2026-05-31 00:00:00+00:00,9,4,0,0
2026-06-01 00:00:00+00:00,16,7,0,0
2026-06-02 00:00:00+00:00,10,5,0,0
2026-06-03 00:00:00+00:00,2,2,0,0
2026-06-04 00:00:00+00:00,8,4,0,0
2026-06-05 00:00:00+00:00,13,4,0,0
