url_path,views_total,views_unique
/Julia-Tempering/InferenceReport.jl,6,2
/Julia-Tempering/InferenceReport.jl/pull/52,4,2
/Julia-Tempering/InferenceReport.jl/pulls,4,1
/Julia-Tempering/InferenceReport.jl/pull/52/files,3,1
/Julia-Tempering/InferenceReport.jl/pull/51,2,1
/Julia-Tempering/InferenceReport.jl/pull/71,2,1
/Julia-Tempering/InferenceReport.jl/pull/72,2,1
/Julia-Tempering/InferenceReport.jl/blob/main/docs/make.jl,1,1
/Julia-Tempering/InferenceReport.jl/blob/main/docs/src/index.md,1,1
/Julia-Tempering/InferenceReport.jl/blob/main/Project.toml,1,1
