time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-04 00:00:00+00:00,7,4,,
2024-05-05 00:00:00+00:00,6,3,,
2024-05-06 00:00:00+00:00,8,4,,
2024-05-07 00:00:00+00:00,46,9,8.0,1.0
2024-05-08 00:00:00+00:00,49,10,6.0,1.0
2024-05-09 00:00:00+00:00,8,4,,
2024-05-10 00:00:00+00:00,63,11,6.0,2.0
2024-05-11 00:00:00+00:00,20,8,,
2024-05-12 00:00:00+00:00,2,2,,
2024-05-13 00:00:00+00:00,6,3,5.0,1.0
2024-05-14 00:00:00+00:00,38,10,1.0,1.0
2024-05-15 00:00:00+00:00,13,6,,
2024-05-16 00:00:00+00:00,6,3,,
2024-05-17 00:00:00+00:00,1,1,,
