time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-01 00:00:00+00:00,2,2,,
2025-06-02 00:00:00+00:00,2,2,,
2025-06-03 00:00:00+00:00,5,3,,
2025-06-04 00:00:00+00:00,2,2,,
2025-06-05 00:00:00+00:00,9,3,8.0,1.0
2025-06-06 00:00:00+00:00,20,8,16.0,1.0
2025-06-07 00:00:00+00:00,72,10,3.0,1.0
2025-06-08 00:00:00+00:00,2,2,,
2025-06-09 00:00:00+00:00,5,4,,
2025-06-10 00:00:00+00:00,2,2,,
2025-06-11 00:00:00+00:00,2,2,,
2025-06-12 00:00:00+00:00,11,8,,
2025-06-13 00:00:00+00:00,7,7,,
2025-06-14 00:00:00+00:00,1,1,,
