url_path,views_total,views_unique
/Julia-Tempering/InferenceReport.jl/blob/881ca9b392a4a59a37875104a8a5cf908ce155b3/src/InferenceReport.jl,8,1
/Julia-Tempering/InferenceReport.jl/issues,5,1
/Julia-Tempering/InferenceReport.jl,4,3
/Julia-Tempering/InferenceReport.jl/pull/39,4,2
/Julia-Tempering/InferenceReport.jl/blob/main/Project.toml,2,1
/Julia-Tempering/InferenceReport.jl/compare/main...sefffal:makie-update,1,1
/Julia-Tempering/InferenceReport.jl/issues/21,1,1
/Julia-Tempering/InferenceReport.jl/issues/26,1,1
/Julia-Tempering/InferenceReport.jl/pulls,1,1
