time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,28,12,0,0
2026-04-14 00:00:00+00:00,43,11,3,3
2026-04-15 00:00:00+00:00,14,5,0,0
2026-04-16 00:00:00+00:00,31,11,1,1
2026-04-17 00:00:00+00:00,11,5,3,1
2026-04-18 00:00:00+00:00,7,7,0,0
2026-04-19 00:00:00+00:00,12,7,0,0
2026-04-20 00:00:00+00:00,45,21,0,0
2026-04-21 00:00:00+00:00,77,27,1,1
2026-04-22 00:00:00+00:00,59,24,0,0
2026-04-23 00:00:00+00:00,74,24,0,0
2026-04-24 00:00:00+00:00,57,25,0,0
2026-04-25 00:00:00+00:00,49,22,0,0
2026-04-26 00:00:00+00:00,21,8,0,0
