time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-20 00:00:00+00:00,15,8,,
2024-02-21 00:00:00+00:00,76,19,,
2024-02-22 00:00:00+00:00,70,19,2.0,1.0
2024-02-23 00:00:00+00:00,116,26,4.0,2.0
2024-02-24 00:00:00+00:00,6,4,2.0,1.0
2024-02-25 00:00:00+00:00,2,2,1.0,1.0
2024-02-26 00:00:00+00:00,15,8,2.0,1.0
2024-02-27 00:00:00+00:00,3,3,6.0,2.0
2024-02-28 00:00:00+00:00,2,2,15.0,14.0
2024-02-29 00:00:00+00:00,3,3,,
2024-03-01 00:00:00+00:00,2,2,3.0,1.0
2024-03-02 00:00:00+00:00,10,4,,
2024-03-03 00:00:00+00:00,12,5,3.0,2.0
